trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
25	41.26849760001642	stim	2		50	surprise	0.05	1.0	2000.0	1.0	61.269340800034115	0.5003382999857422
26	42.769105200015474	stim	2		50	surprise	0.05	1.0	1000.0	0.9804947171720192	62.76994840003317	0.4997776999953203
27	44.26915710000321	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	64.27000030002091	0.4987955999968108
28	45.768216600001324	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	65.76905980001902	0.4999829000153113
29	47.267978600022616	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	67.26882180004031	0.5027907000039704
30	48.76787989999866	stim	2		50	surprise	0.05	1.0	2000.0	1.0	68.76872310001636	0.49967040002229623
31	50.267972800007556	stim	2		50	surprise	0.05	1.0	2000.0	1.0	70.26881600002525	0.49964240001281723
32	51.769032700016396	stim	2		50	surprise	0.05	1.0	2000.0	1.0	71.7698759000341	0.4998543999972753
33	53.268838900025	stim	2		50	surprise	0.05	1.0	2000.0	1.0	73.2696821000427	0.5000683999969624
34	54.76902540001902	stim	2		50	surprise	0.05	1.0	2000.0	1.0	74.76986860003672	0.49975980000454
35	56.269209899997804	stim	2		50	surprise	0.05	1.0	2000.0	1.0	76.2700531000155	0.49988760001724586
36	57.76945170000545	stim	2		50	surprise	0.05	1.0	2000.0	1.0	77.77029490002315	0.49971329999971204
37	59.26922950000153	stim	2		50	surprise	0.05	1.0	2000.0	1.0	79.27007270001923	0.5000555000151508
38	60.7694676000101	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	80.7703108000278	0.4983314000128303
39	62.268044700002065	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	82.26888790001976	0.49999470001785085
40	63.76867810002295	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	83.76952130004065	0.4997908999794163
41	65.26898710001842	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	85.26983030003612	0.49964100000215694
42	66.76864300001762	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	86.76948620003532	0.4997972999990452
43	68.26915670000017	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	88.26999990001787	0.5000405000173487
44	69.76912730000913	stim	2		50	surprise	0.05	1.0	2000.0	1.0	89.76997050002683	0.4999887000012677
45	71.26907760000904	stim	2		50	surprise	0.05	1.0	2000.0	1.0	91.26992080002674	0.5004594000056386
46	72.76907320000464	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	92.76991640002234	0.5004328000068199
47	74.26930169999832	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	94.27014490001602	0.4997861000010744
48	75.7701390000002	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	95.7709822000179	0.499538100004429
49	77.26993120001862	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	97.27077440003632	0.4997490999812726
50	78.76874080000562	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	98.76958400002331	0.5000632000155747
51	80.26893640001072	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	100.26977960002841	0.4997628999990411
52	81.76887820000411	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	101.76972140002181	0.49996790001750924
53	83.26873740000883	stim	2		50	surprise	0.05	1.0	2000.0	1.0	103.26958060002653	0.49996280000777915
54	84.76945280001382	stim	2		50	surprise	0.05	1.0	2000.0	1.0	104.77029600003152	0.5034261000109836
55	86.26996510001482	stim	2		49	surprise	0.05	1.0	2000.0	1.0	106.27080830003251	0.4888978000089992
56	87.7694368000084	stim	2		50	surprise	0.05	1.0	2000.0	1.0	107.7702800000261	0.5002824999974109
57	89.26977410001564	stim	2		50	surprise	0.05	1.0	2000.0	1.0	109.27061730003334	0.5002186000056099
58	90.77042500002426	stim	2		50	surprise	0.05	1.0	2000.0	1.0	110.77126820004196	0.49971789997653104
59	92.27000070002396	stim	2		50	surprise	0.05	1.0	2000.0	1.0	112.27084390004165	0.4996028000023216
60	93.77004930001567	stim	2		50	surprise	0.05	1.0	2000.0	1.0	113.77089250003337	0.499855000001844
61	95.26911800002563	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	115.26996120004333	0.499885400000494
62	96.76890290001757	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	116.76974610003526	0.49981649999972433
63	98.26900150001165	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	118.26984470002935	0.49994340000557713
64	99.76960930001223	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	119.77045250002993	0.49973519999184646
65	101.27003660000628	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	121.27087980002398	0.49994010000955313
66	102.77006750000874	stim	2		50	surprise	0.05	-1.0	2000.0	1.0	122.77091070002643	0.49989030000870116
67	104.26983540001675	stim	2		50	surprise	0.05	1.0	2000.0	1.0	124.27067860003444	0.5002223000046797
68	105.77009620002354	stim	2		50	surprise	0.05	1.0	2000.0	1.0	125.77093940004124	0.5000750999897718
69	107.27022700000089	stim	2		50	surprise	0.05	1.0	2000.0	1.0	127.27107020001858	0.5000549000105821
70	108.77010049999808	stim	2		50	surprise	0.05	1.0	2000.0	1.0	128.77094370001578	0.49991270000464283
71	110.27088740002364	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	130.27173060004134	0.4990533999807667
72	111.76921450000373	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	131.77005770002143	0.5005745000089519
73	113.2696425000031	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	133.2704857000208	0.49927300002309494
74	114.7696182000218	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	134.7704614000395	0.5000945999927353
75	116.26971420002519	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	136.2705574000429	0.49947149999206886
76	117.76950580000994	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	137.77034900002764	0.5007716999971308
77	119.27023700001882	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	139.27108020003652	0.5001274999813177
78	120.77119880000828	stim	2		49	surprise	0.05	-1.0	1000.0	0.9804947171720192	140.77204200002598	0.4885622000147123
79	122.27024750001146	stim	2		49	surprise	0.05	-1.0	1000.0	0.9804947171720192	142.27109070002916	0.489522499992745
80	123.76005630000145	stim	2		51	surprise	0.05	-1.0	1000.0	0.9804947171720192	143.76089950001915	0.5107621000206564
81	125.27105260000098	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	145.27189580001868	0.4996792000019923
