trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
0	0.11382610001601279	stim	0		402	surprise	0.05	1.0	2000.0	1.0	40.80920490002609	4.0194401999760885
0	4.123091100016609	response	0	space		surprise	0.05	1.0	2000.0	1.0	44.818469900026685	
0	4.133266299992101	stim	1		101	surprise	0.05	1.0	2000.0	1.0	44.82864510000218	1.0105602000257932
0	5.143826500017894	stim	2		50	surprise	0.05	1.0	2000.0	1.0	45.83920530002797	0.4997072999831289
1	5.643533800001023	stim	0		0	surprise	0.05	1.0	2000.0	1.0	46.3389126000111	0.002050000010058284
1	5.645583800011082	stim	1		100	surprise	0.05	1.0	2000.0	1.0	46.34096260002116	0.9969293999893125
1	6.642513200000394	stim	2		50	surprise	0.05	1.0	2000.0	1.0	47.33789200001047	0.5001761000021361
2	7.14268930000253	stim	0		0	surprise	0.05	1.0	2000.0	1.0	47.838068100012606	0.0020589999912772328
2	7.1447482999938074	stim	1		100	surprise	0.05	1.0	2000.0	1.0	47.84012710000388	0.9978530000080355
2	8.142601300001843	stim	2		50	surprise	0.05	1.0	2000.0	1.0	48.83798010001192	0.4996775999898091
3	8.642278899991652	stim	0		0	surprise	0.05	1.0	2000.0	1.0	49.33765770000173	0.001988800009712577
3	8.644267700001365	stim	1		100	surprise	0.05	1.0	2000.0	1.0	49.33964650001144	0.9992001999926288
3	9.643467899993993	stim	2		50	surprise	0.05	1.0	2000.0	1.0	50.33884670000407	0.4989664000167977
4	10.142434300010791	stim	0		0	surprise	0.05	1.0	2000.0	1.0	50.83781310002087	0.002049400005489588
4	10.14448370001628	stim	1		100	surprise	0.05	1.0	2000.0	1.0	50.839862500026356	0.9978723999811336
4	11.142356099997414	stim	2		50	surprise	0.05	1.0	2000.0	1.0	51.83773490000749	0.5004622999986168
5	11.642818399996031	stim	0		0	surprise	0.05	1.0	2000.0	1.0	52.33819720000611	0.0021481000003404915
5	11.644966499996372	stim	1		100	surprise	0.05	1.0	2000.0	1.0	52.34034530000645	0.9984701000212226
5	12.643436600017594	stim	2		50	surprise	0.05	1.0	2000.0	1.0	53.33881540002767	0.4999284999794327
6	13.143365099997027	stim	0		0	surprise	0.05	1.0	2000.0	1.0	53.8387439000071	0.002104200015310198
6	13.145469300012337	stim	1		100	surprise	0.05	1.0	2000.0	1.0	53.84084810002241	0.9983037000056356
6	14.143773000017973	stim	2		50	surprise	0.05	1.0	2000.0	1.0	54.83915180002805	0.4996596999990288
7	14.643432700017001	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	55.33881150002708	0.002018099999986589
7	14.645450800016988	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	55.340829600027064	0.9979053999995813
7	15.64335620001657	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	56.338735000026645	0.500594099983573
8	16.143950300000142	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	56.83932910001022	0.0020834000024478883
8	16.14603370000259	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	56.841412500012666	0.9973585999978241
8	17.143392300000414	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	57.83877110001049	0.5007326999912038
9	17.644124999991618	stim	0		0	surprise	0.05	1.0	2000.0	1.0	58.339503800001694	0.002179900009650737
9	17.64630490000127	stim	1		100	surprise	0.05	1.0	2000.0	1.0	58.341683700011345	0.9976373999961652
9	18.643942299997434	stim	2		50	surprise	0.05	1.0	2000.0	1.0	59.33932110000751	0.49980390002019703
