trial_nr	onset	event_type	phase	response	nr_frames	condition	hazard	state	freq	volume	onset_abs	duration
42	65.77057760002208	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	85.77142080003978	0.9980653999955393
42	66.76864300001762	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	86.76948620003532	0.4997972999990452
43	67.26844030001666	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	87.26928350003436	0.0023218999849632382
43	67.27076220000163	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	87.27160540001933	0.9983944999985397
43	68.26915670000017	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	88.26999990001787	0.5000405000173487
44	68.76919720001752	stim	0		0	surprise	0.05	1.0	2000.0	1.0	88.77004040003521	0.002837499981978908
44	68.7720346999995	stim	1		100	surprise	0.05	1.0	2000.0	1.0	88.77287790001719	0.997092600009637
44	69.76912730000913	stim	2		50	surprise	0.05	1.0	2000.0	1.0	89.76997050002683	0.4999887000012677
45	70.2691160000104	stim	0		0	surprise	0.05	1.0	2000.0	1.0	90.2699592000281	0.002119200013112277
45	70.27123520002351	stim	1		100	surprise	0.05	1.0	2000.0	1.0	90.27207840004121	0.9978423999855295
45	71.26907760000904	stim	2		50	surprise	0.05	1.0	2000.0	1.0	91.26992080002674	0.5004594000056386
46	71.76953700001468	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	91.77038020003238	0.002433199988445267
46	71.77197020000312	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	91.77281340002082	0.9971030000015162
46	72.76907320000464	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	92.76991640002234	0.5004328000068199
47	73.26950600001146	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	93.27034920002916	0.0024249000125564635
47	73.27193090002402	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	93.27277410004172	0.9973707999743056
47	74.26930169999832	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	94.27014490001602	0.4997861000010744
48	74.7690877999994	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	94.7699310000171	0.0023932000040076673
48	74.7714810000034	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	94.7723242000211	0.9986579999967944
48	75.7701390000002	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	95.7709822000179	0.499538100004429
49	76.26967710000463	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	96.27052030002233	0.002466300007654354
49	76.27214340001228	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	96.27298660002998	0.9977878000063356
49	77.26993120001862	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	97.27077440003632	0.4997490999812726
50	77.76968029999989	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	97.77052350001759	0.0022889000247232616
50	77.77196920002461	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	97.77281240004231	0.9967715999810025
50	78.76874080000562	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	98.76958400002331	0.5000632000155747
51	79.26880400002119	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	99.26964720003889	0.0020534999785013497
51	79.27085749999969	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	99.27170070001739	0.9980789000110235
51	80.26893640001072	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	100.26977960002841	0.4997628999990411
52	80.76869930000976	stim	0		0	surprise	0.05	-1.0	1000.0	0.9804947171720192	100.76954250002746	0.0023092000046744943
52	80.77100850001443	stim	1		100	surprise	0.05	-1.0	1000.0	0.9804947171720192	100.77185170003213	0.9978696999896783
52	81.76887820000411	stim	2		50	surprise	0.05	-1.0	1000.0	0.9804947171720192	101.76972140002181	0.49996790001750924
53	82.26884610002162	stim	0		0	surprise	0.05	1.0	2000.0	1.0	102.26968930003932	0.0023395000025629997
53	82.27118560002418	stim	1		100	surprise	0.05	1.0	2000.0	1.0	102.27202880004188	0.9975517999846488
53	83.26873740000883	stim	2		50	surprise	0.05	1.0	2000.0	1.0	103.26958060002653	0.49996280000777915
54	83.76870020001661	stim	0		0	surprise	0.05	1.0	2000.0	1.0	103.76954340003431	0.0021967999928165227
54	83.77089700000943	stim	1		100	surprise	0.05	1.0	2000.0	1.0	103.77174020002712	0.9985558000043966
54	84.76945280001382	stim	2		50	surprise	0.05	1.0	2000.0	1.0	104.77029600003152	0.5034261000109836
55	85.2728789000248	stim	0		0	surprise	0.05	1.0	2000.0	1.0	105.2737221000425	0.002145899983588606
55	85.2750248000084	stim	1		100	surprise	0.05	1.0	2000.0	1.0	105.2758680000261	0.9949403000064194
55	86.26996510001482	stim	2		49	surprise	0.05	1.0	2000.0	1.0	106.27080830003251	0.4888978000089992
56	86.75886290002381	stim	0		0	surprise	0.05	1.0	2000.0	1.0	106.75970610004151	0.0021813999919686466
56	86.76104430001578	stim	1		101	surprise	0.05	1.0	2000.0	1.0	106.76188750003348	1.008392499992624
56	87.7694368000084	stim	2		50	surprise	0.05	1.0	2000.0	1.0	107.7702800000261	0.5002824999974109
57	88.26971930000582	stim	0		0	surprise	0.05	1.0	2000.0	1.0	108.27056250002352	0.0019864000205416232
57	88.27170570002636	stim	1		100	surprise	0.05	1.0	2000.0	1.0	108.27254890004406	0.998068399989279
